        Black Pawn to 4, 4 = 0.0920635
    White Pawn to 2, 5 = 0.0920635
            White Pawn to 4, 4 = 0.118529
            White Pawn to 3, 4 = -0.899328
            White Pawn to 5, 4 = -1.08846
            White Pawn to 5, 5 = -0.697253
            White Pawn to 7, 4 = -0.633761
            White Pawn to 7, 5 = -0.517094
            White King to 4, 6 = -0.752381
            White King to 3, 6 = -0.832051
            White Pawn to 6, 4 = -0.641361
            White Pawn to 6, 5 = -0.361966
            White Pawn to 0, 4 = -0.633761
            White Pawn to 0, 5 = -0.517094
            White Pawn to 2, 5 = -0.664713
            White Pawn to 1, 4 = -0.661966
            White Pawn to 1, 5 = -0.361966
            White Pawn to 2, 4 = -0.664713
            White Knight to 5, 5 = -0.019475
            White Knight to 4, 6 = -0.275794
            White Knight to 0, 5 = -0.394872
            White Knight to 2, 5 = -0.0948718
            White Knight to 3, 6 = -0.466575
            White Knight to 7, 5 = -0.394872
            White Bishop to 7, 2 = -0.460348
            White Bishop to 6, 3 = -0.383425
            White Bishop to 5, 4 = -0.306502
            White Bishop to 4, 5 = -0.306502
            White Bishop to 3, 6 = -0.362821
            White Bishop to 4, 6 = -0.416392
            White Queen to 7, 3 = -0.984158
            White Queen to 6, 4 = -0.963553
            White Queen to 5, 5 = -0.926618
            White Queen to 4, 6 = -1.01865
            White Queen to 3, 6 = -1.20943
        Black Pawn to 4, 4 = 0.118529
    White Pawn to 3, 5 = 0.118529
            White Pawn to 3, 4 = -0.721551
            White Pawn to 5, 4 = -1.05794
            White King to 4, 6 = -1.11416
            White Pawn to 0, 3 = -0.824603
            White Pawn to 6, 4 = -0.687759
            White Pawn to 6, 5 = -0.408364
            White Pawn to 7, 5 = -0.563492
            White Pawn to 3, 5 = -0.633761
            White Pawn to 1, 4 = -0.708364
            White Pawn to 1, 5 = -0.408364
            White Pawn to 2, 4 = -0.788034
            White Pawn to 2, 5 = -0.411111
            White Pawn to 7, 4 = -0.680159
            White Pawn to 5, 5 = -0.743651
            White Bishop to 0, 2 = -0.524603
            White Bishop to 1, 3 = -0.409219
            White Bishop to 2, 4 = -0.370757
            White Bishop to 3, 5 = -0.468284
            White Knight to 0, 5 = -0.474603
            White Bishop to 4, 6 = -0.46279
            White Knight to 4, 6 = -0.548687
            White Knight to 7, 5 = -0.44127
            White Knight to 5, 5 = -0.176984
            White Knight to 2, 5 = -0.14127
            White Rook to 0, 6 = -0.574603
            White Rook to 0, 5 = -0.524603
            White Queen to 4, 6 = -1.23797
            White Queen to 7, 3 = -1.0127
            White Queen to 6, 4 = -0.992094
            White Queen to 5, 5 = -1.0127
        Black Pawn to 4, 4 = -0.14127
    White Pawn to 0, 4 = -0.14127
            White Pawn to 3, 4 = -0.604884
            White Pawn to 0, 4 = -0.857937
            White Pawn to 6, 4 = -0.571093
            White Pawn to 6, 5 = -0.291697
            White Pawn to 7, 4 = -0.563492
            White Pawn to 7, 5 = -0.446825
            White King to 4, 6 = -0.997497
